version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Innenstadt-Ost;Innenstadt-Ost;00121;001-21 Hans-Thoma-Schule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Innenstadt-West;Innenstadt-West;00221;002-21 Ständehaus;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Innenstadt-West;Innenstadt-West;00222;002-22 Leopoldschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Innenstadt-West;Innenstadt-West;00223;002-23 Leopoldschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Südstadt;Südstadt;00321;003-21 Friedrich-List-Schule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Südstadt;Südstadt;00322;003-22 Nebeniusschule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Südstadt;Südstadt;00323;003-23 Nebeniusschule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Südstadt;Südstadt;00324;003-24 Uhlandschule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;27;Wahlkreis 27 - Karlsruhe I;Südstadt;Südstadt;00325;003-25 Uhlandschule;W;;27;Wahlkreis 27 - Karlsruhe I;27;Wahlkreis 27 - Karlsruhe I
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00421;004-21 Goethe-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00422;004-22 Goethe-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00423;004-23 Kimmelmannschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00424;004-24 Weinbrennerschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00425;004-25 Südendschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00426;004-26 Kimmelmannschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Südweststadt;Südweststadt;00427;004-27 Südendschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00521;005-21 Draisschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00522;005-22 Helmholtz-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00523;005-23 Lessing-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00524;005-24 Lessing-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00525;005-25 Weinbrennerschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00526;005-26 Lessing-Gymnasium;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Weststadt;Weststadt;00527;005-27 Weinbrennerschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Nordweststadt;Nordweststadt;00621;006-21 Rennbuckelschule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
0.3;08212000;14.03.2021;Landtagswahl BW 2021;08000000;Land Baden-Württemberg;;;;;28;Wahlkreis 28 - Karlsruhe II;Nordweststadt;Nordweststadt;00622;006-22 Werner-von-Siemens-Schule;W;;28;Wahlkreis 28 - Karlsruhe II;28;Wahlkreis 28 - Karlsruhe II
